都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,郵便番号,住所,方書,LAT,LON,電話番号,備考
292010,0000000026,奈良県,奈良市,薬局セブンファーマシー左京店,ヤッキョクセブンファーマシーサキョウテン,631-0801,奈良県奈良市左京1-13-18-2,,"34.712474","135.801678",0742-72-3030,
292010,0000000027,奈良県,奈良市,奈良市薬剤師会_会営病院前薬局,ナラシヤクザイシカイ_カイエイビョウインマエヤッキョク,631-0846,奈良県奈良市平松1-32-17-2,,"34.680226","135.773790",0742-52-1000,
292010,0000000028,奈良県,奈良市,こぐま薬局_押熊店,コグマヤッキョク_オシクマテン,631-0011,奈良県奈良市押熊町547-1,,"34.718136","135.771475",0742-53-1300,
292010,0000000029,奈良県,奈良市,はるかぜ薬局,ハルカゼヤッキョク,630-8307,奈良県奈良市西紀寺町38,,"34.673920","135.832865",0742-26-7085,
292010,0000000030,奈良県,奈良市,あしび薬局_富雄店,アシビヤッキョク_トミオテン,631-0061,奈良県奈良市三碓2-1-3,,"34.690978","135.736121",0742-41-2105,
292010,0000000031,奈良県,奈良市,オレンジ薬局_法連仲町店,オレンジヤッキョク_ホウレンナカマチテン,630-8113,奈良県奈良市法蓮町1095-6,,"34.690919","135.826151",0742-93-9546,
292010,0000000032,奈良県,奈良市,こぐま薬局_西登美ヶ丘店,コグマヤッキョク_ニシトミガオカテン,631-0006,奈良県奈良市西登美ヶ丘2-11-14,,"34.716632","135.744794",0742-51-0590,
292010,0000000033,奈良県,奈良市,有限会社_メジロ薬局_帝塚山店,ユウゲンガイシャメジロヤッキョク_テヅカヤマテン,631-0062,奈良県奈良市帝塚山1-1-33-102,,"34.685018","135.734164",0742-51-7705,
292010,0000000034,奈良県,奈良市,まりん薬局,マリンヤッキョク,631-0821,奈良県奈良市西大寺東町2-1-63,,"34.694394","135.783684",0742-32-1818,
292010,0000000035,奈良県,奈良市,とみお薬局,トミオヤッキョク,631-0078,奈良県奈良市富雄元町2-3-22-1,,"34.693569","135.734374",0742-41-0070,
292010,0000000036,奈良県,奈良市,今小路薬局_西大寺店,イマコウジヤッキョク_サイダイジテン,631-0824,奈良県奈良市西大寺南町2-28,マンションオカザワ1F,"34.690997","135.781503",0742-51-8889,
292010,0000000037,奈良県,奈良市,有限会社_ケンエ薬局,ユウゲンガイシャ_ケンエヤッキョク,631-0076,奈良県奈良市富雄北1-3-5,第1キタダビル1F,"34.694597","135.735220",0742-49-1147,
292010,0000000038,奈良県,奈良市,あしび薬局_敷島店,アシビヤッキョク_シキシマテン,631-0031,奈良県奈良市敷島町2-556-9,,"34.700385","135.771062",0742-41-2081,
292010,0000000039,奈良県,奈良市,富雄ゆーあい薬局,トミオユーアイヤッキョク,631-0078,奈良県奈良市富雄元町1-22-12,タワーアラモード1F,"34.694375","135.736342",0742-81-4072,
292010,0000000040,奈良県,奈良市,ドクトル薬局,ドクトルヤッキョク,631-0824,奈良県奈良市西大寺南町2-6,,"34.691189","135.781658",0742-40-5545,
292010,0000000041,奈良県,奈良市,衣川薬局,キヌガワヤッキョク,631-0824,奈良県奈良市西大寺南町1-17,,"34.693710","135.781223",0742-95-5268,
