分類,施設名,所在地,緯度,経度,電話番号,FAX番号,駐車可能台数,トイレ,多目的トイレ,授乳室,AED,一次避難所,URL,主な業務・施設概要,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,西部出張所,奈良県奈良市学園南3-1-5西部会館2F,34.696719,135.75023,0742-44-1005,0742-48-3254,77,○,○,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000714/index.html,―,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,月ヶ瀬行政センター,奈良県奈良市月ヶ瀬尾山2845,34.709494,136.044084,0743-92-0131,0743-92-0320,39,○,―,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000794/index.html,―,,,,,,,,,,,,
観光施設,梅の郷月ヶ瀬温泉,奈良県奈良市月ヶ瀬尾山2681,34.714169,136.047192,0743-92-0388,―,150,○,―,―,○,―,http://tsukigaseonsen.com/,奈良県北東部と京都府、三重県との県境に位置する自然豊かな、奈良市月ヶ瀬で楽しむことができる「梅の郷月ヶ瀬温泉」。春には梅の木が立ち並ぶ月ヶ瀬の美しい景色は、1992年、我が国最初の名勝地として指定されました。 四季折々の景色を眺めながらの、展望露天風呂・内風呂・サウナ・お食事などゆったりとした時間をお過ごしいただける山間の素朴な温泉です。 平成26年2月1日にリニューアルオープンし、新しく「展望露天風呂」が登場いたしました。,,,,,,,,,,,,
観光施設,月ヶ瀬梅の資料館,奈良県奈良市月ヶ瀬長引21-8,34.706964,136.031454,0743-92-0300,0743-92-0556,14,○,―,―,―,―,http://web1.kcn.jp/tukigase-umeno-siryoukan/,鉄筋コンクリート造りの3階建てで、1階は梅を使った地元特産品の販売コーナー・月ヶ瀬の季節の移り変りをご覧頂ける視聴コーナー・月ヶ瀬の花の種類の紹介コーナーなどでさまざまな情報を発信しています。2階は斉藤拙堂・富岡鉄斎など月ヶ瀬を来遊した著名人の書画・書籍など観梅にかかわる資料を展示する展示室と収納庫、会議室となっています。 また会議室の外には回廊がありダム湖と山間の木々の織り成す景色堪能ください。3階は展望台で、鮮やかな朱色にかがやく月ヶ瀬橋と水面に映る花・木々の風情を感じることが出来ます。,,,,,,,,,,,,
観光施設,月ヶ瀬温泉ふれあい市場,奈良県奈良市月ヶ瀬尾山2681,34.714533,136.047038,0743-92-0801,―,30,○,―,―,―,―,http://tukigase-fureaiichiba.com/index.html,―,,,,,,,,,,,,
観光施設,"湖畔の里""つきがせ""",奈良県奈良市月ヶ瀬桃香野4267-5,34.706749,136.015779,0743-92-0066,―,45,○,―,―,―,―,http://kohannosato.com/,―,,,,,,,,,,,,
観光施設,ロマントピア月ヶ瀬,奈良県奈良市月ヶ瀬長引410-1,34.711392,136.035639,0743-92-0810,―,100,○,○,―,―,―,http://romantopia.sakura.ne.jp/index.php,ロマントピア月ヶ瀬は、農林漁業体験実習館・多目的広場・伝統工芸伝承教室などの総合施設です。春は梅まつり、夏は梅の実採り・茶摘み体験、秋は収穫祭、冬はクリスマス楽イブ、年間を通してこんにゃく作り・餅つきなど多彩な催しや体験が味わえます。ご希望の体験がございましたら、遠慮なくお申し付けください。,,,,,,,,,,,,
観光施設,梅の里ふれあい館,奈良県奈良市月ヶ瀬尾山106-1,34.707764,136.036806,0743-92-0981,―,0,○,―,―,―,―,―,地域の資源を有効活用し、地域の特産物及び文化の紹介等を行うことにより、地域の農業及び観光の振興を図るための伝統的家屋交流施設,,,,,,,,,,,,
産業関連施設,月ヶ瀬粉末茶加工施設,奈良県奈良市月ヶ瀬尾山2796-2,34.710498,136.045688,―,―,0,○,―,―,―,―,―,粉末茶の加工を行うことにより茶の生産を振興し、茶業の維持発展を図るための施設,,,,,,,,,,,,
産業関連施設,月ヶ瀬農畜産物処理加工施設,奈良県奈良市月ヶ瀬尾山2763?14,34.710908,136.046332,0743-92-0230,―,5,○,―,―,―,―,―,地域の資源を有効活用し、特産品としての農畜産物等の加工を行うことにより、地域住民の就労機会の確保及び所得の向上を図るための施設,,,,,,,,,,,,
スポーツ・レクリエーション施設,月ヶ瀬健民運動場,奈良県奈良市月ヶ瀬尾山2778-1,34.710957,136.043209,0743-92-0131,―,50,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147741508829/index.html,軟式野球1面　、サッカー1面、ソフトボール1面,,,,,,,,,,,,
スポーツ・レクリエーション施設,月ヶ瀬体育館,奈良県奈良市月ヶ瀬尾山2509-1,34.711569,136.043204,0743-92-0131,―,50,○,―,―,―,○,http://www.city.nara.lg.jp/www/contents/1147673441024/index.html,【可能な競技種目】バレーボール2面、バスケットボール1面、バドミントン6面 ,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,都祁行政センター,奈良県奈良市都祁白石町1026-1,34.60545,135.957291,0743-82-0201,0743-82-1950,32,○,○,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000804/index.html,―,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),都祁交流センター,奈良県奈良市都祁白石町1133,34.604464,135.956923,0743-82-2112,0743-82-2090,125,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147768451649/index.html,様々な文化活動を通じて豊かな生活を目指す市民の皆様の多様なニーズに対応できるよう、地域間の交流と文化活動の拠点として設立されました。,,,,,,,,,,,,
スポーツ・レクリエーション施設,都祁体育館,奈良県奈良市都祁白石町1161,34.605241,135.955949,0743-82-2112 ,―,40,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147673923551/index.html,【可能な競技種目】バレーボール2面、バスケットボール1面、バドミントン4面 ,,,,,,,,,,,,
産業関連施設,都祁農畜産物処理加工施設,奈良県奈良市針ヶ別所町1025,34.623672,135.963442,0743-84-0274,―,15,○,―,―,―,―,―,地域の資源を有効活用し、特産品としての農畜産物等の加工を行うことにより、地域住民の就労機会の確保及び所得の向上を図るための施設,,,,,,,,,,,,
産業関連施設,都祁農林水産物処理加工施設,奈良県奈良市針ヶ別所町1025,34.623624,135.96309,0743-82-0274,―,15,○,―,―,―,―,―,地域の資源を有効活用し、特産品としての農畜産物等の加工を行うことにより、地域住民の就労機会の確保及び所得の向上を図るための施設,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,東部出張所,奈良県奈良市大柳生町4735,34.716656,135.921825,0742-93-0001,0742-93-0061,10,○,○,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000729/index.html,▼戸籍及び住民基本台帳に関する届けと住民票の写しの交付▼諸証明の交付▼市税・保険料の収納▼各種申請等の受付▼※一部交付できない証明・受付できない申請等があります。,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,北部出張所,奈良県奈良市右京1-1-4北部会館1F,34.721911,135.790983,0742-71-1017,0742-71-0045,47,○,○,―,○,―,http://www.city.nara.lg.jp/www/genre/0000000000000/1000000000734/index.html,―,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),ボランティアインフォメーションセンター,奈良県奈良市三条本町13-1はぐくみセンター1F,34.679181,135.817365,0742-93-8435,0742-34-2336,116,○,○,○,○,―,http://volunt-info.jp/,さまざまな分野のボランティアや市民公益活動を支援し、コーディネートすることを目的としています。ボランティア活動をはじめようとする人々からの相談に応じて、必要な情報の提供や助言、コーディネートを行います。また、地域での教育支援活動におけるリーダーやコーディネーターなどの人材育成も行います。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),ボランティアセンター,奈良県奈良市法蓮町1702-1,34.694688,135.825121,0742-26-2270,0742-26-2003,27,○,○,―,○,―,http://www.narashi-shakyo.com/html/volunteer_top.html,市民の地域福祉活動への積極的な参加促進を図るとともに、さまざまな分野で広がりをみせるボランティア活動を支援し、やさしさとふれあいのある住みよい奈良のまちづくりを目指しています。,,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,東寺林連絡所,奈良県奈良市東寺林町38,34.679814,135.830993,0742-26-2871,―,28,○,―,―,○,―,http://www.city.nara.lg.jp/www/contents/1147927309205/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務▼住民票の写し、住民票記載事項証明書、印鑑証明書、年金現況証明書、戸籍謄・抄本、除籍謄・抄本、戸籍の附票の交付、税務証明(家屋取毀証明、住宅家屋証明を除く)の交付
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,東市連絡所,奈良県奈良市古市町99-1,34.653195,135.841676,0742-61-7043,―,10,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147930341871/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,平城連絡所,奈良県奈良市秋篠町1468,34.706211,135.777631,0742-45-4044,―,15,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147932332734/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,大安寺連絡所,奈良県奈良市大安寺4-4-34,34.670954,135.812379,0742-61-7045,―,8,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147932903196/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,辰市連絡所,奈良県奈良市西九条町2-2-44,34.657924,135.807817,0742-61-7046,―,5,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147933158128/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,明治連絡所,奈良県奈良市北永井町508-2,34.655884,135.826506,0742-61-7047,―,6,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147933548747/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,帯解連絡所,奈良県奈良市山町27-1,34.643747,135.828719,0742-62-3473,―,9,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147934927845/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,精華連絡所,奈良県奈良市高樋町640-1,34.633288,135.853798,0742-62-9200,―,6,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147935885283/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,伏見連絡所,奈良県奈良市西大寺芝町1-2-7,34.692362,135.780738,0742-45-4512,―,6,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147936570780/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
市役所・出張所・行政センター・連絡所等,田原連絡所,奈良県奈良市茗荷町1078-1,34.657079,135.907704,0742-81-0001,―,27,○,○,―,―,―,http://www.city.nara.lg.jp/www/contents/1147936873660/index.html,"▼市民への通知、自治会など各種団体との連絡▼市税、国民健康保険、市民課業務などの本庁との取り次ぎ事務
",,,,,,,,,,,,
文化・生涯学習施設(公民館以外),済美地域ふれあい会館,奈良県奈良市南京終町201-12,34.670387,135.828303,0742-24-5899,―,15,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),柳生地域ふれあい会館,奈良県奈良市丹生町847,34.696546,135.966642,―,―,0,○,―,―,○,○,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),とみの里地域ふれあい会館,奈良県奈良市中山町西2-1012-1,34.714375,135.757795,0742-51-0178,―,38,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),右京地域ふれあい会館,奈良県奈良市右京3-18,34.719226,135.786604,0742-71-8019,―,12,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),帯解地域ふれあい会館,奈良県奈良市田中町342-1,34.63925,135.831074,―,―,0,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),朱雀地域ふれあい会館,奈良県奈良市朱雀2-12,34.719913,135.796098,0742-72-4063,―,8,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),東市地域ふれあい会館,奈良県奈良市古市町99-1,34.653195,135.841676,0742-64-3005,―,32,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),左京地域ふれあい会館,奈良県奈良市左京5-4-1,34.717644,135.80917,0742-72-4011,―,7,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),青和地域ふれあい会館,奈良県奈良市百楽園4-1-20-5,34.699355,135.742294,0742-51-6726,―,5,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),佐保川地域ふれあい会館,奈良県奈良市法蓮町391-4,34.69067,135.812125,0742-93-3226,―,9,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),辰市地域ふれあい会館,奈良県奈良市西九条町2-2-44,34.657924,135.807817,―,―,7,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),月瀬地域ふれあい会館,奈良県奈良市月ヶ瀬月瀬356-2,34.703915,136.022488,―,―,4,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),西大寺北地域ふれあい会館,奈良県奈良市西大寺東町1-1-15,34.696145,135.783575,0742-33-2271,―,0,○,○,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),佐保台地域ふれあい会館,奈良県奈良市佐保台2-902-239,34.708608,135.815468,0742-71-4384,―,5,○,―,―,○,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),都跡地域ふれあい会館,奈良県奈良市四条大路5-2-45,34.680486,135.788956,0742-32-3235,―,14,○,○,―,―,―,―,地域の交流活動及び福祉活動の拠点,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),入江泰吉記念奈良市写真美術館,奈良県奈良市高畑町600-1,34.675588,135.845439,0742-22-9811,0742-22-9722,39,○,○,―,○,―,http://irietaikichi.jp/,入江泰吉記念奈良市写真美術館は写真家・入江泰吉の全作品を収蔵保存するとともに随時テーマを替えて企画展を開催し、入江作品を公開しています。西日本最初の写真専門美術館で心安らぐひとときを過ごし文化創造に役立てていただければと願っています。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),音声館,奈良県奈良市鳴川町32-1,34.676047,135.828674,0742-27-7700,0742-27-7732,60,○,○,―,○,―,http://onjokan.city.nara.nara.jp/,わらべうた教室や劇団「良弁杉」では、年間をとおして活動している他、職員によるミニコンサートや館内でのギャラリー展示を開催しています。また、有料で部屋の貸し出しをしています。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),名勝大乗院庭園文化館,奈良県奈良市高畑町1083-1,34.677722,135.834473,0742-24-0808,0742-24-0807,0,○,○,―,―,―,http://www.narahotel.co.jp/,「名勝旧大乗院庭園」の一角に建てられた「名勝大乗院庭園文化館」は、かつての大乗院を復元した模型や、関係資料の展示を無料公開する歴史的文化遺産に親しむ施設であるとともに、各種催しに利用いただける茶室や会議室(有料)を備えています。また、屋外の築地(ついじ)塀には御所馬場町にあった楽人長屋土塀のデザインを取り入れています。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),杉岡華邨書道美術館,奈良県奈良市脇戸町3,34.404,135.4945,0742-24-4111,0742-20-6677,0,○,○,―,―,―,http://www3.kcn.ne.jp/~shodou/,杉岡華邨書道美術館は、2000年秋に文化勲章を受章された杉岡華邨氏から、奈良市が作品の寄贈を受けたのを機に、先生の功績を称え、貴重な作品を永く後世に伝えるとともに、書道の発展に寄与するため、2000年8月4日に開館した書道専門の美術館です。ユネスコの世界遺産にも登録された元興寺の旧境内に広がる「ならまち」に位置し、古い町並みに溶け込んだ落ち着いた白い建物が目印です。皆様のお越しをお待ちしております。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),ならまちセンター,奈良県奈良市東寺林町38,34.679814,135.830993,0742-27-1151,0742-27-1152,26,○,○,○,○,―,http://naramachi-center.org/,ならまちセンターは、地域のコミュニティーセンターとして中央図書館・東寺林連絡所を併設しています。また、北には興福寺、五重塔、猿沢池。南には元興寺極楽坊、古の奈良の町並みが残る「ならまち」があります。ならまち散策の出発点として、ぜひお立ち寄りください。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),西部会館市民ホール,奈良県奈良市学園南3-1-5西部会館3F,34.696719,135.75023,0742-51-2001,0742-51-2039,70,○,―,―,○,―,http://www.gakuenmae-hall.com/,西部会館市民ホールは学園前ホールという愛称で親しまれています。学園前中心市街地に位置し、特急停車駅である近鉄奈良線学園前駅から至近距離であることから大変アクセスの良い施設であり、音楽会、落語会、講演会等の催事を随時行っております。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),なら100年会館,奈良県奈良市三条宮前町7-1,34.680291,135.8165,0742-34-0100,0742-34-1000 ,99,○,○,―,○,―,http://www.nara100.com/,"なら100年会館は、奈良市制100周年を記念してJR奈良駅前西側に建設された多目的ホールです。 設計者は建築家の磯崎新氏。「奈良の文化を育て、世界に発信するまさに""文化の船""」をイメージしており、 「新しい奈良」のランドマーク、文化発信の拠点となっています。施設は、奈良県内最大の客席数を誇り、舞台・客席が8形式に変化するステージ機能を備え、コンサートや国際会議、学会等、多目的な利用に適している大ホール(収容人員1692人)、 全面ガラス張りでクラシックを中心とする演奏会に適している中ホール(収容人員434人)、 会議・各種展示会等に適している小ホール(収容人員約100人)等を有し、 国内外の優れた芸術の公演から、地域密着の各種文化活動、発表会等幅広い分野で利用されています。",,,,,,,,,,,,
文化・生涯学習施設(公民館以外),奈良市美術館,奈良県奈良市二条大路南1-3-1イトーヨーカドー奈良店5F,34.685235,135.802094,0742-30-1510,0742-35-7160,775,○,○,―,○,―,http://www.museum.city.nara.nara.jp/,奈良市美術館はイトーヨーカドー奈良店の5階に開館しました。当館は、美術作品を鑑賞できる場を提供する美術作品鑑賞機能、市民の創作活動の発表の場とする市民ギャラリー機能、市民の美術活動を推進し発展させる機会を提供する美術普及活動機能といった「鑑賞・創造・学習」の三つを柱に活動しています。また、イトーヨーカドー奈良店という商業施設内にある立地条件を最大限に活用し美術館を身近に感じてもらえるように努力しています。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),北部会館市民文化ホール,奈良県奈良市右京1-1-4北部会館3F,34.721911,135.790983,0742-71-5747,0742-71-5793,47,○,―,―,○,―,http://www.hokubu-hall.city.nara.nara.jp/,北部会館市民文化ホールは、市民ホールと多目的室、大小会議室、和室の貸館施設として市民のみなさんの自主的な活動や文化サークル活動など市民のふれあいの場としてまた文化活動の拠点としてご利用いただいています。また、自主事業として、多岐にわたる文化講座やコンサート、親子向けイベントなどを年間を通じて開催し、地域ににぎわいをはぐくんでいます。,,,,,,,,,,,,
文化・生涯学習施設(公民館以外),入江泰吉旧居,奈良県奈良市水門町49-2,34.686955,135.836622,0742-27-1689,0742-27-1689,0,○,○,―,―,―,http://kyukyo.irietaikichi.jp/,入江泰吉旧居は、奈良大和路を半世紀にわたり撮り続けた写真家入江泰吉が、撮影の本拠地とした住まいです。伝統的な日本家屋に彼の感性が光り、その佇まいから臨む風景は四季折々に素晴らしいです。また“入江泰吉を語り継ぐ”や“入江泰吉のことばを学ぶ”の講演会や講座、初心者向けの俳句講座、旧居周辺を散策する“入江泰吉さんぽみち”等を開催しています。興味のある方に是非ご参加頂きたいです。,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでんフィールド(鴻ノ池陸上競技場)・補助競技場・投てき練習場・多目的広場・ウォーキングコース,奈良県奈良市法蓮佐保山4-5-1,34.697341,135.828332,0742-22-0001,0742-26-0265,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1374029354468/index.html,陸上競技場(第一種公認)、補助競技場(第三種公認),,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでんスタジアム(鴻ノ池球場),奈良県奈良市法蓮佐保山4-3-1,34.697865,135.826917,0742-26-2453,―,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147741978724/,"球場面積44000㎡、グラウンド面積13300㎡、センター120m、両翼91m、内野収容人員3250人、外野収容人員20000人、夜間照明設備完備 
",,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでんアリーナ(中央体育館),奈良県奈良市法蓮佐保山4-1-3,34.695178,135.828047,0742-24-1501,―,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147669733093/index.html,【可能な競技種目】バレーボール3面、バドミントン10面、テニス3面、バスケットボール3面、卓球32台、ハンドボール1面、体操(男・女規定)全種目、柔道、剣道、その他室内スポーツ・レクリエーション等,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん第二アリーナ(中央第二体育館),奈良県奈良市法蓮佐保山4-6-1,34.6959,135.828222,0742-24-1501,―,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147670468703/index.html,【可能な競技種目】バレーボール2面、バスケットボール1面、バドミントン4面、卓球10台、テニス1面,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん武道場(中央武道場),奈良県奈良市法蓮佐保山4-1-2,34.694797,135.827257,0742-26-1060,0742-26-1060,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147674312624/index.html,【可能な競技種目】 剣道、やり、なぎなた、空手道、銃剣道、少林寺拳法など ,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん第二武道場(中央第二武道場),奈良県奈良市法蓮佐保山4-6-3,34.696282,135.828509,0742-27-6163,0742-27-6163,612,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147674533127/index.html,【可能な競技種目】 柔道、合気道、空手道など,,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん弓道場(弓道場),奈良県奈良市法蓮佐保山4-6-2,34.695886,135.828676,0742-27-6163,0742-27-6163,612,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147674730334/index.html,射場289.60㎡、的場59.00㎡、巻藁道場132.34㎡、付属施設(射場、更衣室、的場、監的場、師範席、倉庫),,,,,,,,,,,,
スポーツ・レクリエーション施設,ならでん相撲場(鴻ノ池相撲場),奈良県奈良市法蓮佐保山4-8-9,34.698815,135.829345,0742-27-6163,0742-27-6163,612,○,―,―,―,―,http://www.city.nara.lg.jp/www/contents/1147674949490/index.html,建築面積延143.10㎡、鉄骨平屋建,,,,,,,,,,,,
スポーツ・レクリエーション施設,西部生涯スポーツセンター体育館,奈良県奈良市中町4860,34.670277,135.756314,0742-52-0100,―,146,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147673026761/index.html,【可能な競技種目】バレーボール2面、バスケットボール2面、バドミントン6面、卓球12台、テニス1面,,,,,,,,,,,,
スポーツ・レクリエーション施設,西部生涯スポーツセンターコート・球技場・ゲートボール場・クラブハウス,奈良県奈良市丸山1-905,34.667089,135.751035,0742-47-4188,―,73,○,○,―,○,―,http://www.city.nara.lg.jp/www/contents/1147739406993/index.html,"テニスコート5面4055㎡ (クレーコート3面、砂入り人工芝コート2面)、球技場8455㎡、ゲートボール場2面1717㎡ (クレー舗装)
",,,,,,,,,,,,
